"eventTime","eventName","sourceIPAddress","userAgent"
"2025-09-10T05:38:44Z","GetCostAndUsage","171.79.61.183","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36"
"2025-09-10T05:38:42Z","DescribeBudgetPerformanceHistory","171.79.61.183","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36"
"2025-09-10T05:38:40Z","GetDimensionValues","171.79.61.183","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36"
"2025-09-10T05:38:39Z","DescribeBudgetActionsForBudget","171.79.61.183","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36"
"2025-09-10T05:38:38Z","GetDimensionValues","171.79.61.183","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36"
"2025-09-10T05:38:38Z","GetCostAndUsage","171.79.61.183","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36"
"2025-09-10T05:38:38Z","GetCostCategories","171.79.61.183","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36"
"2025-09-10T05:38:38Z","GetTags","171.79.61.183","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36"
"2025-09-10T05:38:38Z","GetCostAndUsage","171.79.61.183","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36"
"2025-09-10T05:38:36Z","DescribeNotificationsForBudget","171.79.61.183","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36"
"2025-09-10T05:38:36Z","GetBillingView","2401:4900:7b72:4017:d82e:9aa2:fff:8be","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36"
"2025-09-10T05:38:35Z","DescribeBudgets","171.79.61.183","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36"
"2025-09-10T05:38:35Z","DescribeBudget","171.79.61.183","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36"
"2025-09-10T05:38:23Z","DescribeSubscribersForNotification","171.79.61.183","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36"
"2025-09-10T05:38:22Z","DescribeBudgetActionsForBudget","171.79.61.183","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36"
"2025-09-10T05:38:21Z","DescribeNotificationsForBudget","171.79.61.183","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36"
"2025-09-10T05:38:21Z","DescribeBudget","171.79.61.183","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36"
"2025-09-10T05:38:21Z","GetBillingView","2401:4900:7b72:4017:d82e:9aa2:fff:8be","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36"
"2025-09-10T05:38:15Z","DescribeBudgetNotificationsForAccount","171.79.61.183","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36"
"2025-09-10T05:38:15Z","DescribeBudgetActionsForAccount","171.79.61.183","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36"
