"eventTime","eventName","userName","sourceIPAddress"
"2025-09-10T05:28:04Z","AuthorizeSecurityGroupIngress","Aksh","171.79.61.183"
"2025-09-10T05:20:35Z","DeleteBucket","Aksh","171.79.61.183"
"2025-09-10T05:18:23Z","PutBucketPolicy","Aksh","171.79.61.183"
"2025-09-10T05:17:47Z","PutBucketPolicy","Aksh","171.79.61.183"
"2025-09-10T05:17:13Z","PutBucketPolicy","Aksh","171.79.61.183"
"2025-09-10T05:10:33Z","PutBucketPolicy","Aksh","171.79.61.183"
"2025-09-10T05:09:57Z","PutBucketPolicy","Aksh","171.79.61.183"
"2025-09-10T05:09:04Z","PutBucketPolicy","Aksh","171.79.61.183"
"2025-09-10T05:08:48Z","PutBucketPolicy","Aksh","171.79.61.183"
"2025-09-10T05:08:14Z","PutBucketPolicy","Aksh","171.79.61.183"
"2025-09-10T05:05:02Z","PutBucketPolicy","Aksh","171.79.61.183"
"2025-09-10T05:03:17Z","PutBucketPolicy","Aksh","171.79.61.183"
"2025-09-10T05:02:57Z","PutBucketPolicy","Aksh","171.79.61.183"
"2025-09-10T04:58:09Z","PutBucketPolicy","Aksh","171.79.61.183"
"2025-09-06T14:05:53Z","PutBucketPolicy","Aksh","27.61.57.243"
"2025-09-06T13:55:34Z","PutBucketPolicy","Aksh","27.61.57.243"
"2025-09-03T19:09:18Z","PutBucketPolicy","Aksh","27.61.54.4"
"2025-09-02T04:06:18Z","AuthorizeSecurityGroupIngress","Aksh","171.79.54.238"
"2025-09-01T17:35:07Z","AuthorizeSecurityGroupIngress","Aksh","171.79.58.85"
