"userName","eventName","call_count"
,"GetBucketAcl","3643"
"Aksh","GetFunction20150331v2","1188"
,"AssumeRole","859"
,"GetQueryExecution","851"
"Aksh","GetQueryExecution","423"
"Aksh","GetFindingsStatistics","344"
"Aksh","QueryDatabase","327"
,"StartQueryExecution","215"
"Aksh","GetQueryRuntimeStatistics","210"
"Aksh","GetAccountPlanState","188"
"Aksh","ListPolicies","178"
"Aksh","GetPolicy","176"
"Aksh","GetCatalogs","155"
,"GetBucketLocation","136"
"Aksh","GetFeatureOptInStatus","135"
"Aksh","GetAccountColor","132"
"Aksh","ListNotificationHubs","128"
"Aksh","GetQueryResults","127"
"Aksh","GetPolicyVersion","118"
"Aksh","ListDataCatalogs","116"
